nazwa_stacji,szerokosc_geo,dlugosc_geo
Banker St & Meserole Ave,40.72606,-73.95621
Broadway & W 58 St,40.76695317,-73.98169333
W 48 St &  Rockefeller Plaza,40.75776935448309,-73.97929430007935
Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307
Henry St & Atlantic Ave,40.69089272,-73.99612349
W 11 St & 6 Ave,40.73532427,-73.99800419
3 St & Prospect Park West,40.668132,-73.97363831
W 45 St & 8 Ave,40.75929124,-73.98859651
W 18 St & 9 Ave,40.7435337324616,-74.00367558002472
E 12 St & 3 Ave,40.73223272,-73.98889957
Stanton St & Norfolk St,40.720747,-73.986274
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
S 3 St & Bedford Ave,40.71260486,-73.96264403
Canal St & Rutgers St,40.71427487,-73.98990025
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852
